Glass Name,Price,Link,Currency,Aubergine,Black,Black & Brown,Black & Silver,Black Bronze,Black Floral,Black Silver,Black Tortoise,Black/Brown,Blue,Blue Floral,Bronze,Brown,Brown Golden,Burgundy,Cassis,Celeste,Champagne,Clear,Clear & Pink Beige,Clear Blue,Clear Copper,Clear Jade,Clear Melon,Clear Orange,Clear Pink,Clear Purple,Clear Yellow,Clear/Black,Coffee,Cognac,Coral,Emerald Green,Faded Rose,Floral,Frost Blue,Golden,Gray Clear,Green,Gunmetal,Ivory Tortoise,Jet Black,Lavender,Leopard,Light Blue,Light Purple,Marbled Havana,Matte Black,Matte Black/Gunmetal,Matte Black/Silver,Matte Blue,Matte Burgundy,Matte Champagne,Matte Clear,Matte Floral,Matte Gray,Matte Green,Matte Navy,Matte Pink,Matte Red,Matte Redwood,Matte Tortoise,Navy,Neon Pink,Orange,Pink,Pink Tortoise,Pink/Floral,Purple,Rainbow,Red,Red Floral,Red/Floral,Rose Gold,Shiny Black,Shiny Clear Green,Silver,Striped Granite,Taupe,Teal,Tortoise,Translucent,Transparent Brown,Transparent Light Blue,Warm Tortoise,White,Yellow
St Michel,39.0,https://www.eyebuydirect.com/eyeglasses/frames/st-michel-rose-gold-s-20946,$,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Amity,29.0,https://www.eyebuydirect.com/eyeglasses/frames/amity-orange-l-21330,$,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Quill,45.0,https://www.eyebuydirect.com/eyeglasses/frames/quill-red-l-20215,$,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Palo Alto,42.0,https://www.eyebuydirect.com/eyeglasses/frames/palo-alto-golden-m-19748,$,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Hubris,29.0,https://www.eyebuydirect.com/eyeglasses/frames/hubris-black-floral-s-19043,$,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Morning,42.0,https://www.eyebuydirect.com/eyeglasses/frames/morning-warm-tortoise-m-21390,$,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Primrose,39.0,https://www.eyebuydirect.com/eyeglasses/frames/primrose-matte-clear-m-20081,$,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
Theory,70.0,https://www.eyebuydirect.com/eyeglasses/frames/theory-cognac-m-15873,$,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Prism,70.0,https://www.eyebuydirect.com/eyeglasses/frames/prism-tortoise-m-18703,$,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
Aura,70.0,https://www.eyebuydirect.com/eyeglasses/frames/aura-ivory-tortoise-m-22210,$,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
