Glass Name,Price,Colors,Link
St Michel,$39,"['Rose Gold', 'Golden', 'Black', 'Silver', 'Gunmetal', 'Bronze', 'Frost Blue']",https://www.eyebuydirect.com/eyeglasses/frames/st-michel-rose-gold-s-20946
Amity,$29,"['Orange', 'Emerald Green', 'Clear', 'Rose Gold', 'Clear Purple']",https://www.eyebuydirect.com/eyeglasses/frames/amity-orange-l-21330
Quill,$45,"['Red', 'Ivory Tortoise', 'Tortoise']",https://www.eyebuydirect.com/eyeglasses/frames/quill-red-l-20215
Palo Alto,$42,"['Golden', 'Silver', 'Black']",https://www.eyebuydirect.com/eyeglasses/frames/palo-alto-golden-m-19748
Hubris,$29,"['Black Floral', 'Clear Copper', 'Matte Black', 'Clear Blue', 'Matte Clear']",https://www.eyebuydirect.com/eyeglasses/frames/hubris-black-floral-s-19043
Morning,$42,"['Warm Tortoise', 'Gray Clear', 'Clear', 'Tortoise']",https://www.eyebuydirect.com/eyeglasses/frames/morning-warm-tortoise-m-21390
Primrose,$39,"['Matte Clear', 'Tortoise', 'Ivory Tortoise', 'Clear', 'Floral', 'Gray Clear', 'White']",https://www.eyebuydirect.com/eyeglasses/frames/primrose-matte-clear-m-20081
Theory,$70,"['Cognac', 'Clear', 'Striped Granite']",https://www.eyebuydirect.com/eyeglasses/frames/theory-cognac-m-15873
Prism,$70,"['Tortoise', 'Clear', 'Taupe', 'Warm Tortoise']",https://www.eyebuydirect.com/eyeglasses/frames/prism-tortoise-m-18703
Aura,$70,"['Ivory Tortoise', 'Champagne', 'Jet Black', 'Warm Tortoise', 'Matte Champagne', 'Clear Jade', 'Translucent', 'Celeste']",https://www.eyebuydirect.com/eyeglasses/frames/aura-ivory-tortoise-m-22210
Alchemist,$69,"['Black', 'Tortoise']",https://www.eyebuydirect.com/eyeglasses/frames/alchemist-black-m-19850
Dazzle,$62,"['Purple', 'Blue', 'Clear', 'Pink']",https://www.eyebuydirect.com/eyeglasses/frames/dazzle-purple-l-22234
